date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:27	120/120	---M-Z	200	added ('OK')	text/plain	date:Sat,%2027%20Apr%202024%2005:33:28%20GMT	https://magictradersignals.com/robots.txt		(from )
11:33:28	109409/109409	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Apr%202024%2005:33:29%20GMT	https://magictradersignals.com/acessar/?utm_medium=paid&utm_source=fb&utm_id=23857845772440036&utm_content=23857848067010036&utm_term=23857848067020036&utm_campaign=23857845772440036&fbclid=IwZXh0bgNhZW0CMTAAAR2ZM46k79aNPPQS7RdJ_jTMXH-3XTzDfhGR-fCTjJz1j1vjosFyYe2RI04_aem_ATh5tvfpkSGAklf9XlxUtbZceSIAk_qjWf9_YsxoeXZJrTqB6wuCkvsEFqmbVfFxX5Kyhjk_9Zbmty7uSxGL0cqD	C:/Users/USER/Desktop/mrx4mind/magictradersignals.com/acessar/index3344.html	(from )
11:33:29	57284/57284	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Aug%202023%2023:18:56%20GMT	https://magictradersignals.com/wp-content/uploads/2023/08/pngegg-1.png	C:/Users/USER/Desktop/mrx4mind/magictradersignals.com/wp-content/uploads/2023/08/pngegg-1.png	(from https://magictradersignals.com/acessar/?utm_medium=paid&utm_source=fb&utm_id=23857845772440036&utm_content=23857848067010036&utm_term=23857848067020036&utm_campaign=23857845772440036&fbclid=IwZXh0bgNhZW0CMTAAAR2ZM46k79aNPPQS7RdJ_jTMXH-3XTzDfhGR-fCTjJz1j1vjosFyYe2RI04_aem_ATh5tvfpkSGAklf9XlxUtbZceSIAk_qjWf9_YsxoeXZJrTqB6wuCkvsEFqmbVfFxX5Kyhjk_9Zbmty7uSxGL0cqD)
11:33:29	134187/134187	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Apr%202024%2019:08:39%20GMT	https://magictradersignals.com/acessar/	C:/Users/USER/Desktop/mrx4mind/magictradersignals.com/acessar/index.html	(from https://magictradersignals.com/acessar/?utm_medium=paid&utm_source=fb&utm_id=23857845772440036&utm_content=23857848067010036&utm_term=23857848067020036&utm_campaign=23857845772440036&fbclid=IwZXh0bgNhZW0CMTAAAR2ZM46k79aNPPQS7RdJ_jTMXH-3XTzDfhGR-fCTjJz1j1vjosFyYe2RI04_aem_ATh5tvfpkSGAklf9XlxUtbZceSIAk_qjWf9_YsxoeXZJrTqB6wuCkvsEFqmbVfFxX5Kyhjk_9Zbmty7uSxGL0cqD)
11:33:30	97517/97517	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2000:22:38%20GMT	https://magictradersignals.com/wp-includes/css/dist/block-library/style.min.css?ver=6.2.5	C:/Users/USER/Desktop/mrx4mind/magictradersignals.com/wp-includes/css/dist/block-library/style.min3a9e.css	(from https://magictradersignals.com/acessar/?utm_medium=paid&utm_source=fb&utm_id=23857845772440036&utm_content=23857848067010036&utm_term=23857848067020036&utm_campaign=23857845772440036&fbclid=IwZXh0bgNhZW0CMTAAAR2ZM46k79aNPPQS7RdJ_jTMXH-3XTzDfhGR-fCTjJz1j1vjosFyYe2RI04_aem_ATh5tvfpkSGAklf9XlxUtbZceSIAk_qjWf9_YsxoeXZJrTqB6wuCkvsEFqmbVfFxX5Kyhjk_9Zbmty7uSxGL0cqD)
11:33:30	83177/83177	---M-Z	200	added ('OK')	text/css	date:Fri,%2002%20Jun%202023%2016:10:00%20GMT	https://magictradersignals.com/wp-content/plugins/jet-engine/assets/css/frontend.css?ver=3.1.6.1	C:/Users/USER/Desktop/mrx4mind/magictradersignals.com/wp-content/plugins/jet-engine/assets/css/frontend8f3a.css	(from https://magictradersignals.com/acessar/?utm_medium=paid&utm_source=fb&utm_id=23857845772440036&utm_content=23857848067010036&utm_term=23857848067020036&utm_campaign=23857845772440036&fbclid=IwZXh0bgNhZW0CMTAAAR2ZM46k79aNPPQS7RdJ_jTMXH-3XTzDfhGR-fCTjJz1j1vjosFyYe2RI04_aem_ATh5tvfpkSGAklf9XlxUtbZceSIAk_qjWf9_YsxoeXZJrTqB6wuCkvsEFqmbVfFxX5Kyhjk_9Zbmty7uSxGL0cqD)
11:33:31	291/291	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20Feb%202023%2020:50:20%20GMT	https://magictradersignals.com/wp-includes/css/classic-themes.min.css?ver=6.2.5	C:/Users/USER/Desktop/mrx4mind/magictradersignals.com/wp-includes/css/classic-themes.min3a9e.css	(from https://magictradersignals.com/acessar/?utm_medium=paid&utm_source=fb&utm_id=23857845772440036&utm_content=23857848067010036&utm_term=23857848067020036&utm_campaign=23857845772440036&fbclid=IwZXh0bgNhZW0CMTAAAR2ZM46k79aNPPQS7RdJ_jTMXH-3XTzDfhGR-fCTjJz1j1vjosFyYe2RI04_aem_ATh5tvfpkSGAklf9XlxUtbZceSIAk_qjWf9_YsxoeXZJrTqB6wuCkvsEFqmbVfFxX5Kyhjk_9Zbmty7uSxGL0cqD)
11:33:31	1306/1306	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Aug%202023%2022:40:33%20GMT	https://magictradersignals.com/wp-content/plugins/secure-copy-content-protection/public/css/secure-copy-content-protection-public.css?ver=3.6.9	C:/Users/USER/Desktop/mrx4mind/magictradersignals.com/wp-content/plugins/secure-copy-content-protection/public/css/secure-copy-content-protection-public0527.css	(from https://magictradersignals.com/acessar/?utm_medium=paid&utm_source=fb&utm_id=23857845772440036&utm_content=23857848067010036&utm_term=23857848067020036&utm_campaign=23857845772440036&fbclid=IwZXh0bgNhZW0CMTAAAR2ZM46k79aNPPQS7RdJ_jTMXH-3XTzDfhGR-fCTjJz1j1vjosFyYe2RI04_aem_ATh5tvfpkSGAklf9XlxUtbZceSIAk_qjWf9_YsxoeXZJrTqB6wuCkvsEFqmbVfFxX5Kyhjk_9Zbmty7uSxGL0cqD)
11:33:32	5745/5745	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Jun%202023%2021:47:02%20GMT	https://magictradersignals.com/wp-content/themes/hello-elementor/style.min.css?ver=2.7.1	C:/Users/USER/Desktop/mrx4mind/magictradersignals.com/wp-content/themes/hello-elementor/style.min653d.css	(from https://magictradersignals.com/acessar/?utm_medium=paid&utm_source=fb&utm_id=23857845772440036&utm_content=23857848067010036&utm_term=23857848067020036&utm_campaign=23857845772440036&fbclid=IwZXh0bgNhZW0CMTAAAR2ZM46k79aNPPQS7RdJ_jTMXH-3XTzDfhGR-fCTjJz1j1vjosFyYe2RI04_aem_ATh5tvfpkSGAklf9XlxUtbZceSIAk_qjWf9_YsxoeXZJrTqB6wuCkvsEFqmbVfFxX5Kyhjk_9Zbmty7uSxGL0cqD)
11:33:32	12285/12285	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Jun%202023%2021:47:02%20GMT	https://magictradersignals.com/wp-content/themes/hello-elementor/theme.min.css?ver=2.7.1	C:/Users/USER/Desktop/mrx4mind/magictradersignals.com/wp-content/themes/hello-elementor/theme.min653d.css	(from https://magictradersignals.com/acessar/?utm_medium=paid&utm_source=fb&utm_id=23857845772440036&utm_content=23857848067010036&utm_term=23857848067020036&utm_campaign=23857845772440036&fbclid=IwZXh0bgNhZW0CMTAAAR2ZM46k79aNPPQS7RdJ_jTMXH-3XTzDfhGR-fCTjJz1j1vjosFyYe2RI04_aem_ATh5tvfpkSGAklf9XlxUtbZceSIAk_qjWf9_YsxoeXZJrTqB6wuCkvsEFqmbVfFxX5Kyhjk_9Zbmty7uSxGL0cqD)
11:33:32	111754/111754	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Aug%202023%2020:22:32%20GMT	https://magictradersignals.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.15.2	C:/Users/USER/Desktop/mrx4mind/magictradersignals.com/wp-content/plugins/elementor/assets/css/frontend-lite.min6319.css	(from https://magictradersignals.com/acessar/?utm_medium=paid&utm_source=fb&utm_id=23857845772440036&utm_content=23857848067010036&utm_term=23857848067020036&utm_campaign=23857845772440036&fbclid=IwZXh0bgNhZW0CMTAAAR2ZM46k79aNPPQS7RdJ_jTMXH-3XTzDfhGR-fCTjJz1j1vjosFyYe2RI04_aem_ATh5tvfpkSGAklf9XlxUtbZceSIAk_qjWf9_YsxoeXZJrTqB6wuCkvsEFqmbVfFxX5Kyhjk_9Zbmty7uSxGL0cqD)
11:33:33	1209/1209	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Aug%202023%2020:22:43%20GMT	https://magictradersignals.com/wp-content/uploads/elementor/css/post-5.css?ver=1691698963	C:/Users/USER/Desktop/mrx4mind/magictradersignals.com/wp-content/uploads/elementor/css/post-5f065.css	(from https://magictradersignals.com/acessar/?utm_medium=paid&utm_source=fb&utm_id=23857845772440036&utm_content=23857848067010036&utm_term=23857848067020036&utm_campaign=23857845772440036&fbclid=IwZXh0bgNhZW0CMTAAAR2ZM46k79aNPPQS7RdJ_jTMXH-3XTzDfhGR-fCTjJz1j1vjosFyYe2RI04_aem_ATh5tvfpkSGAklf9XlxUtbZceSIAk_qjWf9_YsxoeXZJrTqB6wuCkvsEFqmbVfFxX5Kyhjk_9Zbmty7uSxGL0cqD)
